miRNA,Target Gene,Attention_Weight
hsa-miR-145-5p,MUC1,0.14265692
hsa-let-7d-5p,SLC11A2,0.08755807
hsa-let-7a-5p,IGF2,0.00014189247
hsa-let-7a-5p,HRAS,0.8670678
hsa-let-7g-5p,KRAS,0.83769834
hsa-miR-101-3p,EZH2,0.0020374942
hsa-miR-107,PLAG1,1.9659929e-05
hsa-miR-122-5p,PRKAB1,0.41129008
hsa-miR-125b-5p,GLI1,0.00026709036
hsa-miR-125b-5p,HMGA1,1.0
hsa-miR-125b-5p,HMGA2,1.0
hsa-miR-125b-5p,BMPR1B,0.002724406
hsa-miR-126-3p,SPRED1,0.152331
hsa-miR-127-3p,XBP1,0.65054387
hsa-miR-127-3p,BCL6,0.23041335
hsa-miR-128-3p,EGFR,0.9999634
hsa-miR-133a-3p,HCN4,0.22282718
hsa-miR-146a-5p,NFKB1,0.21803452
hsa-miR-146b-5p,NFKB1,0.26536214
hsa-miR-148a-3p,HLA-G,0.0027753818
hsa-miR-148a-3p,DNMT1,0.61054283
hsa-miR-148b-3p,HLA-G,4.7903697e-05
hsa-miR-152-3p,HLA-G,0.00057347777
hsa-miR-152-3p,DNMT1,0.7011456
hsa-miR-155-5p,EDN1,0.42525685
hsa-miR-15a-5p,CCND2,8.844281e-05
hsa-miR-15a-5p,CDC25A,0.00018566461
hsa-miR-15a-5p,WNT3A,1.7464312e-07
hsa-miR-15a-5p,BCL2,7.0255344e-05
hsa-miR-15b-5p,CCNE1,0.001344311
hsa-miR-15b-5p,EIF4A1,1.0
hsa-miR-16-5p,WNT3A,5.8619165e-11
hsa-miR-17-5p,YES1,0.96101546
hsa-miR-17-5p,DNAJC27,5.2093903e-08
hsa-miR-17-5p,NPAT,0.006601932
hsa-miR-17-5p,FBXO31,6.637328e-05
hsa-miR-17-5p,NABP1,2.5312543e-06
hsa-miR-17-5p,GPR137B,8.657186e-06
hsa-miR-17-5p,ZNFX1,0.0006300828
hsa-miR-181a-5p,CDX2,7.812876e-05
hsa-miR-181a-5p,GATA6,0.011989777
hsa-miR-181a-5p,NLK,0.00015566632
hsa-miR-181b-5p,CDX2,0.006703352
hsa-miR-181b-5p,GATA6,0.08776986
hsa-miR-181b-5p,NLK,0.008263223
hsa-miR-181c-5p,CDX2,0.058711436
hsa-miR-181c-5p,GATA6,0.20370866
hsa-miR-181c-5p,NLK,0.057746634
hsa-miR-19a-3p,BCL2L11,1.4830947e-06
hsa-miR-19b-3p,BCL2L11,2.9155668e-08
hsa-miR-200a-3p,DLX5,0.19917765
hsa-miR-200a-3p,WASF3,0.025247436
hsa-miR-200b-3p,ZEB2,0.11560832
hsa-miR-200b-3p,ZEB1,0.44778734
hsa-miR-204-5p,BCL2,0.101005785
hsa-miR-21-5p,REST,0.9908819
hsa-miR-21-5p,SPRY2,1.7657743e-07
hsa-miR-21-5p,BCL2,4.8837334e-09
hsa-miR-210-3p,FGFRL1,0.24595125
hsa-miR-210-3p,HOXA1,0.02326394
hsa-miR-210-3p,PIM1,0.13458277
hsa-miR-210-3p,TP53I11,0.05097415
hsa-miR-210-3p,HOXA9,0.0019742204
hsa-miR-219a-5p,CAMK2G,0.17424391
hsa-miR-222-3p,KIT,2.2675892e-09
hsa-miR-223-3p,MEF2C,0.01809186
hsa-miR-223-3p,NFIA,0.19907054
hsa-miR-26a-5p,HMGA1,1.0
hsa-miR-26a-5p,HMGA2,1.0
hsa-miR-30a-5p,BECN1,0.042005368
hsa-miR-326,GLI1,0.20845115
hsa-miR-328-3p,BACE1,0.102168776
hsa-miR-504-5p,DRD1,0.2159754
hsa-miR-9-5p,REST,0.5336909
hsa-miR-9-5p,MMP13,0.0036020386
hsa-miR-21-5p,RASGRP1,8.4698346e-11
hsa-miR-222-3p,STAT5A,5.692969e-06
hsa-miR-125b-5p,PRDM1,5.0730518e-09
hsa-miR-125b-5p,IRF4,3.1559158e-11
hsa-miR-370-3p,CPT1A,0.6778539
hsa-miR-107,ARNT,0.015328217
hsa-miR-22-3p,TFRC,0.9994497
hsa-miR-146a-5p,CXCR4,0.05087624
hsa-miR-20a-5p,HIF1A,1.0
hsa-miR-451a,ABCB1,0.019830778
hsa-miR-18a-5p,NR3C1,0.99982625
hsa-miR-124-3p,NR3C1,0.867479
hsa-miR-33a-5p,ABCA1,0.38806576
hsa-miR-33a-5p,NPC1,0.57740486
hsa-miR-33b-5p,ABCA1,0.39754665
hsa-miR-181a-5p,CDKN1B,0.014769357
hsa-miR-126-3p,VEGFA,0.47875735
hsa-miR-296-5p,WNK4,0.23216021
hsa-miR-181a-5p,PROX1,3.5659587e-06
hsa-miR-301a-3p,MEOX2,0.00054414483
hsa-miR-29a-3p,DKK1,0.0071877013
hsa-miR-29a-3p,KREMEN2,5.9816466e-05
hsa-miR-29a-3p,SFRP2,1.4492915e-11
hsa-miR-299-5p,SPP1,0.7650928
hsa-miR-25-3p,KLF4,0.002517744
hsa-miR-335-5p,RB1,0.08578509
hsa-miR-130a-3p,CSF1,0.048540153
hsa-miR-489-3p,PTPN11,0.64896375
hsa-miR-204-5p,MEIS2,0.13973907
hsa-miR-23b-5p,PRODH,0.055370852
